ref,designation,conditionnement,prix_achat_ht,prix_vente_ht,tva_20_pct,prix_vente_ttc
083549,PALL-X333 COL TESTER N°20 LUXURY BLACK 0.1L,1 UN,12.68,25.36,5.07,30.43
083550,PALL-X333 COL TESTER N°21 EASY WHITE 0.1L,1 UN,12.68,25.36,5.07,30.43
083556,PALL-X333 COL TESTER N°26 BRUSHED WHITE 0.1L,1 UN,12.68,25.36,5.07,30.43
083557,PALL-X333 COL TESTER N°27 SOFT GREY 0.1L,1 UN,12.68,25.36,5.07,30.43
179263,PALLMANN COVER PRO,1 UN,84.60,169.20,33.84,203.04
183780,PALLMANN SPRAYMOP SET,1 UN,27.93,55.86,11.17,67.03
012598,PEAU DE MOUTON,1 UN,16.09,32.18,6.44,38.62
055889,RACLETTE magic-oil,1 UN,31.40,62.80,12.56,75.36
067669,ROULEAU aqua brillant 14mm/250mm,1 UN,14.59,29.18,5.84,35.02
083923,ROULEAU aqua SP 8 mm/25 cm,1 UN,14.59,29.18,5.84,35.02
012495,ROULEAU mohair aqua 11mm/250mm,1 UN,14.59,29.18,5.84,35.02
012496,ROULEAU nylon,1 UN,9.36,18.72,3.74,22.46
081466,ROULEAU solvant,1 UN,14.59,29.18,5.84,35.02
021192,ROULEAU SPORT-COLOR 4 mm/50mm,1 UN,2.31,4.62,0.92,5.54
062194,Rouleau à rechampir 8 mm / 10 cm,1 UN,3.02,6.04,1.21,7.25
040181,SACHETS PVC (lot de 50),50 UN,32.66,65.32,13.06,78.38
017393,SEAU de vitrification noir (19 L),1 UN,8.16,16.32,3.26,19.58
067259,SPATULE dentelée lame large 180mm,1 UN,10.08,20.16,4.03,24.19
012506,SPATULE double lame 270mm,1 UN,21.65,43.30,8.66,51.96
079311,Sport-Color 2K 1018 Jaune A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079312,Sport-Color 2K 2004 Orange A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079313,Sport-Color 2K 3000 Rouge A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079314,Sport-Color 2K 5010 Bleu A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079315,Sport-Color 2K 5012 Bleu clair A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079316,Sport-Color 2K 6025 Vert A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079317,Sport-Color 2K 9016 Blanc A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
079318,Sport-color 2K 9017 Noir A/B 1.1L,1.1 L,57.85,115.70,23.14,138.84
183781,SPRAYMOP pad lavage,1 UN,6.09,12.18,2.44,14.62
184424,SPRAYMOP pdt de lavage 0.75l,1 UN,9.21,18.42,3.68,22.10
040289,TISSUS d essuyage et lustrage (10p),10 UN,22.46,44.92,8.98,53.90
089547,Tube de rangement boudin de colle 3.75kg,1 UN,8.13,16.26,3.25,19.51
084070,TURBO SCRUBBER brosse blanche,1 UN,98.55,197.10,39.42,236.52
084069,TURBO SCRUBBER brosse orange,1 UN,107.87,215.74,43.15,258.89
